,Unnamed: 0,journalname,pmid,text,response
1800,23208,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,17021855,nutrition intervention eicosapentaenoic acid epacontaining supplement nutritional inflammatory twentythree enrolled completed completed epaons intake tetrapaks daily increase weight lean body mass lbm maintained protein energy intake decreased commencement chemotherapy protein energy increase energy whilst qol measures maintained ppl epa crp mgl decreased end correlation plasma concentrations aim assess impact eicosapentanoic acidcontaining protein energy dense oral nutritional supplement epaons nutritional inflammatory life qol plasma phospholipids ppl cytokine profile tolerance irinotecancontaining chemotherapy epaons crc receiving chemotherapy crc prior chemotherapy regimen epaons daily commencing chemotherapy folinic acid fluorouracil irinotecan folfiri continued assessments weight body composition creactive protein crp qol dietary intake ppl cytokine analyses dietary counseling provision epaons result maintenance nutritional qol required impact epa chemotherapy antineoplastic combined chemotherapy australia biomarkers body composition camptothecin cytokines dietary proteins dietary supplements eicosapentaenoic acid energy intake fluorouracil inflammation irinotecan leucovorin malnutrition nutritional nutritional support phospholipids life vitamin complex biomarkers cytokines dietary proteins phospholipids vitamin complex irinotecan eicosapentaenoic acid leucovorin fluorouracil camptothecin,1
1812,23850,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,29189967,evaluation specialized oncology nursing supportive care intervention newly diagnosed following surgery cluster surgical practices cluster group involving usual care practices standardized nursing intervention consisting inperson supportive care assessment ongoing support meet identified needs linkage community services newly diagnosed within surgery eligible patientreported pro continuity care cccq measured secondary unmet supportive care needs scns life eortc qlqc health resource utilization uncertainty care trajectory muis andor surgical practices improvement informational domain continuity care trend less emergency room differences groups unmet need life uncertainty find substantial gaps pros measured immediately following surgery support targeted approach need inform future research focused improving navigation initial phases sonicseffectiveness specialist oncology nursing better coordination supportive services phases care proposed improve care experience test communitybased nurseled coordination care intervention care coordination nursing supportive care needs oncology nursing palliative care life,1
1814,23876,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,29546525,swallowing exercise education program dysphagiaspecific healthrelated life oral cavity posttreatment seep improving emotional dysphagia qol initial occ purpose swallowing exercise education program seep swallowing ability depression dysphagiaspecific healthrelated life qol oral cavity occ groups pre postrepeated measures design participants randomly assigned experimental group group experimental group participated seep group normal care five points assessment participating seep receiving normal care experimental group greater emotional dysphagia qol group experimental group posteducation depression better groups functional dysphagia qol physical dysphagia qol greatest decreased slightly decreased differences groups within groups respect dysphagiaspecific healthrelated qol global dysphagia qol functional dysphagia qol physical dysphagia qol depression dysphagiaspecific healthrelated life oral cavity swallowing ability swallowing exercise education deglutition deglutition disorders mouth life,1
1815,23889,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,29732483,feasibility accessibility electronic patientreported measures smartphone routine chemotherapy pilot suggests proposed prosmart feasible accessible assessment symptomatic aes receiving chemotherapy growing interest integrating electronic patientreported pro measures routine oncology practice symptom monitoring feasibility accessibility electronic pro measures smartphone prosmart receiving routine chemotherapy proposed prosmart application obtains daily personal health record phr via smartphone report cumulative phr provided clinician format suitable upload electronic medical records emrs outpatients least chemotherapy scheduled enrolled february december screened onehundred prosmart least final accessibility screened symptomatic aes chemotherapy recorded emrs deviation sd grading aes prosmart numeric rating scale sd patientreported questionnaire revealed useful easy chemotherapy patientreported measures smartphone symptom access information antineoplastic electronic health records feasibility mobile applications monitoring physiologic measures pilot projects smartphone surveys questionnaires antineoplastic,1
1843,24298,Surgery today,29721714,oral feeding length hospital stay following gastrectomy gastric japanese multicenter differences length stay intervention groups underwent dg complications greater dg intervention group contrast length stay shorter tg intervention group although tg group attain established target sample size oral feeding shorten hospital stay dg complications precluded unselected adoption oral feeding dg confirmative required definitively establish potential benefits oral feeding tg multicenter evaluates oral feeding following gastrectomy length hospital stay subjects underwent distal gastrectomy dg gastrectomy tg gastric january december randomly assigned oral feeding group intervention group conventional management group group procedure length hospital stay complications group oral feeding gastrectomy multicenter hospital stay enteral nutrition feeding methods gastrectomy length stay care complications period stomach,1
1949,25541,Breast cancer research and treatment,16826318,longterm management cancerrelated lymphedema intensive decongestive physiotherapy volume lymphedema prior intensive decongestive physiotherapy maintenance therapy lymphedema volume slightly fiftytwo percent lymphedema volume value end intensive decongestive physiotherapy noncompliance stretch bandage elastic sleeve risk lymphedema maintenance noncompliance mld risk lymphedema intensive decongestive physiotherapy followed longterm maintenance analyzed influencing lymphedema volume maintenance cohort secondary lymphedema recruited lymphology unit followed lymphedema volume recorded prior end intensive month month followup visits multivariate models fitted analyze respective role components decongestive therapy ie manual lymph drainage stretch bandage elastic sleeve lymphedema volume maintenance therapy maintenance intensive decongestive physiotherapy compliance elastic sleeve stretch bandage required stabilize lymphedema volume bandages cohort drainage exercise followup longitudinal lymph node excision lymphedema massage physical therapy modalities self care,1
1955,25554,Breast cancer research and treatment,17058023,cognitive behavioral therapy intervention promote weight loss improves body composition lipid profiles overweight survivors seventy six completed intervention independent ttest group differences differences weight body mass index percent fat trunk fat leg fat waist hip circumference intervention groups furthermore triglycerides cholesterolhigh density lipoprotein cholesterol reduced following intervention indicate cbt program weight management reduce obesity cvd risk overweight survivors overweight obesity established negative prognostic comorbidities obesity cardiovascular cvd negatively impact life population purpose determine cognitive behavioral therapy cbt intervention weight loss exercise diet modification risk risks cvd obesity eightyfive overweight obese survivors randomly assigned weekly week intervention waitlist group intervention incorporated elements cbt obesity addressing reduction energy intake exercise goal average h moderate vigorous activity body weight regional body fat dual energy xray absorptiometry waist hip circumference lipids following intervention pressure body composition body mass index density cholesterol hdl cholesterol ldl cognitive behavioral therapy diet reducing energy intake exercise therapy menopause overweight risk survivors weight loss cholesterol hdl cholesterol ldl,1
2125,28596,Journal of neuro-oncology,22124725,rehabilitation surgery improves functional inpatients brain tumours experience suggests application fundamental principles rehabilitation medicine improve care despite high neurological functional deficits affected brain tumours bts rehabilitation population established neurological conditions assess functional brain tumour inpatients underwent rehabilitation surgery undergone neurosurgery bts affected stroke enrolled casecontrol means core set scales functional independence measure sitting balance score standing balance score hauser index massachusetts general hospital functional ambulation classification beginning end rehabilitation neurorehabilitation programme consisted individual sessions administered six week consecutive speech therapy aphasia diagnosed measures indicative substantial improvements neurooncological stroke subgroups affected meningioma achieved better efficiency terms regards independence activities daily living mobility affected glioblastoma stroke rehabilitation surgery improve functional justifying delivery rehabilitation services even bts inpatients irrespective tumour type brain casecontrol exercise therapy inpatients neurosurgery recovery function,1
2145,29670,Journal of cancer survivorship : research and practice,18648963,pilot acupuncture joint symptoms adjuvant aromatase inhibitor therapy postmenopausal twentyone enrolled discontinued end improvement bpisf worst scores severity painrelated functional interference womac function subscale factg physical wellbeing musculoskeletal side common survivors adjuvant ai therapy therefore treatments needed symptom relief improve adherence lifesaving medications pilot acupuncture reduced airelated joint symptoms improved functional ability welltolerated postmenopausal earlystage selfreported musculoskeletal adjuvant ai therapy crossover receive acupuncture twice weekly followed observation viceversa intervention full body auricular acupuncture jointspecific point prescription measures brief inventoryshort form bpisf western ontario mcmaster universities osteoarthritis womac index functional assessment therapygeneral factg life measure serum inflammatory markers beta tnfalpha aromatase inhibitors ais become care adjuvant postmenopausal hormonesensitive receiving ais experience joint symptoms lead discontinuation therapy hypothesize acupuncture safe aiinduced arthralgias acupuncture aromatase inhibitors chemotherapy adjuvant continental population groups employment health inflammation joint diseases measurement pilot projects postmenopause social behavior surveys questionnaires aromatase inhibitors,1
2326,35335,"Breast (Edinburgh, Scotland)",29059538,chinese medicine yi shen jian gu granules aromatase inhibitorassociated musculoskeletal symptoms aromatase inhibitorassociated musculoskeletal symptoms aimss prevalent ai therapy leads life poor adherence ai whether yi shen jian gu granules ysjg safe relieve aimss eligible participants randomly assigned ysjg group group groups week period week followup period brief inventoryshort form bpisf western ontario mcmaster universities osteoarthritis womac index modified score assessment quantification chronic rheumatoid affections hands msacrah obtained participants enrolled randomly assigned evaluable characteristics comparable groups differences bpisf scores worst scores decreased points ysjg group point decrease group improvements womac msacrah possibly ysjgrelated side nausea diarrhea serum folliclestimulating hormone serum estradiol kept postmenopausal ysjg aimss ysjg granules improvements musculoskeletal symptoms ysjg safe welltolerated managing aimss isctn isrctn assigned august aromatase inhibitor musculoskeletal symptoms traditional chinese medicine antineoplastic aromatase inhibitors density diarrhea doubleblind method drugs chinese herbal estradiol follicle stimulating hormone medication adherence musculoskeletal nausea measurement life surveys questionnaires antineoplastic aromatase inhibitors drugs chinese herbal yi shen jian gu estradiol follicle stimulating hormone,1
2368,36431,Clinical colorectal cancer,28669606,doseresponse aerobic exercise colon survivors nonserious occurred similar groups serious occurred volumes moderateintensity aerobic exercise week feasible safe elicit favorable changes prognostic biomarkers recently colon guide recommendations inform future survivors colon usualcare week aerobic exercise lowdose week aerobic exercise highdose changes soluble intercellular adhesion molecule vascular adhesion molecule prognostic biomarkers examined observational suggest volumes physical activity risk survivors colon feasibility prescribing volumes physical activity survivors colon unknown furthermore pathways exercise reduce unknown biomarkers energy balance lifestyle physical activity survivorship amine oxidase coppercontaining biomarkers survivors adhesion molecules colonic exercise exercise therapy intercellular adhesion molecule biomarkers adhesion molecules icam protein intercellular adhesion molecule aoc protein amine oxidase coppercontaining,1
2406,38049,Complementary therapies in medicine,16911897,st wort smoking cessation standardized sjw capsules taken orally twice daily along cessation counseling messages smokers completed clinic visits center telephone calls mailings onearm utilized exact twostage group sequential design week runin period start sjw designated quit date smokers ages smoking cigarettesday started sjw thirteen failed make verified quit attempt predesignated date taken resulting evaluable subjects examine feasibility efficacy st wort sjw smoking cessation upon suggest sjw maintaining smoking cessation high compliance aes conclude sjw demonstrates feasibility smoking cessation sjw proves larger could represent less expensive readily accessible welltolerated agent promote tobacco cessation evaluable subjects week quit quitters change weight cessation sjw generally tolerated subjects completed validated surveys focused physical examination evaluable subjects defined subjects made confirmed quit attempt quit date week following initiation sjw smoking determined selfreport bioverification carbon monoxide co testing adolescent antidepressive hypericum plant extracts smoking cessation antidepressive plant extracts,1
2407,38112,Complementary therapies in medicine,30477836,effectiveness group art therapy life paediatric findings suggest exposure painting handcraftingbased art therapy improves healthrelated life children children undergoing chemotherapy experience many effectiveness painting handcraftingbased art therapy various dimensions healthrelated life paediatric outpatients previously diagnosed heterogeneity malignancy present experimental children previously diagnosed malignancy together parents assigned randomly either experimental group iraq experimental group participated painting handcrafting group art therapy creative art therapy professional fine artist onemonth period dimensions healthrelated life groups measured kidscreen index project completion experimental group physically active energetic less depressed emotional fewer stressful feelings moreover enjoyed social leisure participated social activities addition improvement relationships children better health interaction children parents healthcare providers perception cognitive capacity school performance different groups art therapy children handcrafting painting adolescent antineoplastic art therapy child iraq life antineoplastic,1
2414,38785,European heart journal,15231376,alphatocopherol betacarotene supplementation coronary heart posttrial followup atbc posttrial alphatocopherol betacarotene supplementation coronary heart chd alphatocopherol betacarotene prevention atbc smokers randomised receive alphatocopherol betacarotene daily beginning posttrial followup men still risk firstever major coronary event mce men pretrial history myocardial infarction mi risk mce posttrial risk mce alphatocopherol recipients nonrecipients betacarotene recipients nonrecipients risk nonfatal mi fatal chd men pretrial mi posttrial risk mce betacarotene seemed increase posttrial risk firstever nonfatal mi plausible mechanism support findings advocate alphatocopherol betacarotene supplements prevention chd smokers antioxidants coronary dietary supplements doubleblind method myocardial infarction risk smoking alphatocopherol beta carotene antioxidants beta carotene alphatocopherol,1
2507,40304,European journal of oncology nursing : the official journal of European Oncology Nursing Society,30717942,psychosocial intervention life caregivers quasiexperimental caregivers intervention groups intervention comprised six educational sessions held weekly topics information emotional aspect caring adjustment role caregiver communication strategies intervention group psychosocial intervention programme addition routine care group routine care caregiver burden caregiver qol measured zarit burden interview zbi caregiver life indexcancer cqolc week six week psychosocial intervention programme caregiver burden qol issues sustainability programmes advocacy relating caregiver burden need research psychosocial intervention reduced caregiver burden improved caregiver qol intervention group group leading form nigeria care shifted hospitalbased care home community care resultant increase responsibility burden caregivers aimed implement effectiveness psychosocial intervention programme life qol caregiver burden caregivers caregiver burden nigeria psychoeducation intervention psychosocial life adaptation psychological caregivers counseling emotions health education nigeria life,1
